646,12,568
204,22,569
824,554,5215
429,1022,15
817,9,56
549,12,568
575,444,512
115,745,256
761,12,4115
336,95,8445
31,25,20
190,1558,652
912,75,156
102,68745,12
869,152,585
445,12,588
641,85,634
94,419,58341
903,15,65874
489,110,1582
215,15,851
152,76,523
316,10,457
726,18,5621
672,76,8551
383,841,235
448,856,2123
780,56,95164
132,15,358
255,855,651
915,65,132
35,875,312
136,654879,5641
227,16585,512
769,56,695
208,50,530
415,95,651
55,46,23
799,587,14123
338,50,5889
349,6,38
595,416,68
767,68,415
504,651,2
296,96,123
147,852,56
92,608,940
775,54,185
584,56,841
381,89,321
826,1569,78361
186,165,489
846,841,684
918,580,564
469,86,905
606,5451,1650
233,81,2085
748,51,5002
607,900,605
61,580,52
67,540,54
246,546,5105
334,54811,450
202,563,150
919,14850,158
625,405,5989
410,589,9510
577,1456,1
688,485,506
752,50,654
778,8,132
495,12,654
221,5436,156
744,11,654
862,53,1698
416,56,81
97,15,156
8,165,687
889,6,684
695,16,684
51,132,687
874,1549,14675
287,75,156
430,15641,564
292,1548,48
68,156,45654
370,15185,146
165,95,651
417,654,489
181,51,564
935,541,3654
772,156,509
776,50,8694
28,15460,156
920,786,156
243,65,87
810,10,541
108,80,56
972,50,1536
444,54,37
781,654,156
341,80,560
220,4505,12
574,5,69
46,5,81
194,1456,1
162,15,4
623,15,05
120,544,654
989,45,1
95,12,54
378,9,5
433,65,32
994,8,5
249,5,69
346,5,54
568,54,546
928,78,41
946,4,3
36,3,50
586,5,85
205,7,1
840,15,546
663,165,123
759,5,87
665,1,5
79,10,5
306,8,6
727,15,35
365,15,4
871,12,98
22,4,6
343,2,85
654,1,85
615,1,4
580,1,1
155,87,481
881,82,41
128,6,5
353,1,8
944,25,85
2,15,84
275,2,15
111,9,8
992,4,3
171,1,5
122,5,7
689,8,5
962,5,64
704,1,54
948,12,51
435,4,1
514,6,8
858,5,89
954,1,5
400,3,8
195,5,9
473,2,5
981,5,8
320,5,2
658,12,50
211,954,123
682,15,123
831,152,854
408,841,51
721,15,212
766,5,8
432,53,6
290,135,6
14,132,654
947,12,95
830,87,56
88,867,13
362,1,48
105,154,8
725,123,385
629,54,8
986,52,586
537,10,15
31,13,48
823,468,12
691,70,50
527,60,52
141,514,156
905,123,68
965,15,54
697,59,51
15,32,87
24,89,65
977,50,32
88,54,87
317,78,5416
257,541,654654
99,1,4
330,75,23
964,540,68697
391,654,123
939,49812,12664
693,4561,14564
